title,abstract
"IMPLEMENTASI PRESPECTIVE VIEW PADA ANIMASI 2 DIMENSI
“E-LIFE” MENGGUNAKAN TEKNIK FAKE 3D DENGAN JOYSTICK N
SLIDERS","Animasi 2D, Joysticks n Sliders"
"ANALISIS KECERDASAN EMOSIONAL PADA ORANG DEWASA
MELALUI ANIMASI BISU “BREATHE” MENGGUNAKAN
TEKNIK FRAME BY FRAME","Animasi, 2D, Frame by frame, Kecerdasan Emosional, Animation, Emotional Intellegence"
"PEMBUATAN VIDEO ANIMASI 2D SEBAGAI MEDIA PROMOSI
HERRO NOTEBOOK CENTER MENGGUNAKAN TEKNIK
ROTOSCOPING","Animasi 2D, Media Promosi, Rotoscoping"
"PENGEMBANGAN IKLAN ANIMASI 2D UNTUK 
PROMOSI CLUB AIRSOFT  
(Studi Kasus: Mahasiswa Baru  AMIKOM - TA 2019/2020)","animasi 2D, airsoft, production, video, 2D Animation"
"PEMBUATAN ANIMASI 2D CERITA RAKYAT “LUTUNG KASARUNG” UNTUK MEDIA EDUKASI ANAK ANAK
DI SANGGAR SEJATI","animasi, anak-anak, cerita rakyat, Lutung Kasarung, animasi 2D"
"PERANCANGAN DAN PEMBUATAN FILM ANIMASI 2D BERJUDUL
“CAT LOVE STORY” MENGGUNAKAN TEKNIK  DIGITAL
ANIMATION","animasi digital, pembuatan animasi, media, cat love story."
"PENERAPAN TEKNIK ANIMASI 2D DAN PARALLAXPADA FILM ANIMASI “SEJARAH KESULTANAN
BULUNGAN KALIMANTAN UTARA”","Animasi, Film, Parallax, Bulungan"
"PERANCANGAN FILM ANIMASI SHORINJI KEMPO
PERKEMI SLEMAN","Film Animasi 2D, Frame by Frame, PraProduksi, Produksi, PascaProduksi"
"ANALISA IMPLEMENTASI TEKNIK PARALLAX DALAM
FILM ANIMASI PENDEK “ASAL USUL BUKIT KELAM
YANG BERADA DI KALIMANTAN BARAT”","Animasi pendek, Teknik parallax, Animasi 2D, Animation, Parallax Technique"
"PENGENALAN PROFESI UNTUK ANAK USIA DINI MENGGUNAKAN 
MEDIA ANIMASI 2D","Profesi, Anak Usia Dini, Animasi"
"PEMBUATAN FILM ANIMASI PENDEK 2D “TIMUN MAS” 
MENGGUNAKAN TEKNIK PARALAKS","Animasi 2D, Film Pendek, Paralaks"
"PEMBUATAN ANIMASI 2D ""NGREKSA BUDAYA"" MENGGUNAKAN
TEKNIK FRAME BY FRAME DAN MOTION GRAPHIC UNTUK MEDIA
PEMBELAJARAN.","Animasi 2D, Frame by frame, Motion Graphic"
"PEMBUATAN VIDEO ANIMASI 2D “MARI MENGENAL PAHLAWAN
INDONESIA” SEBAGAI MEDIA PEMBELAJARAN 
UNTUK SISWA SD N 2 JOGOPRAYAN","Animasi, Video Edukasi, Animasi 2D"
"PEMBUATAN ANIMASI 2D “ A LITTLE HELP “ DENGAN 
TEKNIK FRAME BY FRAME","animasi, Frame By Frame, animasi 2D, animation"
"PEMBUATAN ANIMASI 2D DENGAN JUDUL “THE DREAMER""","Animasi, Kartun, Film, Genre, Multimedia"
"PEMBUATAN FILM ANIMASI PENDEK 2D “LAYANGAN’ DENGAN
TEKNIK FRAME BY FRAME","Animasi, Film Pendek, Layangan, 2D frame by frame"
"PEMBUATAN FILM PENDEK ANIMASI 2D “ME AND MY SELF”
MENGGUNAKAN TEKNIK FRAME BY FRAME","Animasi, Animasi 2D, Frame By Frame, Adobe Animate CC, Adobe
Premier, Bullying"
"PEMBUATAN ANIMASI 2D GERAKAN MENCUCI TANGAN,
MEMAKAI MASKER DAN MENJAGA JARAK 
MENGGUNAKAN TEKNIK ANIMASI DIGITAL","Animasi 2D, Sosialisasi, Covid-19, Gerakan 3M"
PERANCANGAN FILM PENDEK ANIMASI 2D ‘HOME’,"Animasi, frame by frame, Adobe Flash, Skala likert, Animation, likert scale."
"PERANCANGAN FILM ANIMASI PENDEK 2D ""MENGHARGAI WAKTU"" MENGGUNAKAN TEKNIK CUT OUT Studi Kasus: Universitas Amikom Yogyakarta T.A 2021/2022","Animasi 2D, Teknik, Cut out, Alarm, Film, Technique, 2D Animation"
"PENERAPAN TEKNIK SCULPT PADA PEMBUATAN KARAKTER
3 DIMENSI “IR. SOEKARNO” DENGAN
MENGGUNAKAN BLENDER","Animasi, 3D, Karakter, Sculpting"
"PEMBUATAN FILM PENDEK ANIMASI 3 DIMENSI BERJUDUL  
“FIRE VS ICE” MENGGUNAKAN KONSEP VOXEL ART","Animation, 3D, Voxel Art"
"PERANCANGAN MODEL 3D ENVIRONMENT
FILM STUDIO GHIBLI","Environment, 3 dimensi, Lingkungan, 3D Dimension"
PERANCANGAN DAN PENGAPLIKASIAN 3D MODELING UNTUK BACKGROUND/ENVIRONMENT MENGGUNAKAN TEKNIK CEL SHADING DAN DIGITAL PAINTING PADA FILM ANIMASI 2D “TIDURLAH”,"Cel shading, Digital painting, Animasi"
"PEMBUATAN VIDEO COMPANY PROFILE 3D ANIMASI RUMPUT
RESORT AND RESTO YOGYAKARTA MENGGUNAKAN 
 APLIKASI AUTODESK MAYA 3D ANIMASI",
"ANALISIS PERBANDINGAN ANIMASI 3D METODE POSE TO POSE
DAN LIVE SHOOT GERAKAN DASAR OLAHRAGA BASKET","Animasi 3D, pose to pose, Blender"
"IMPLEMENTASI GERAKAN MANUSIA PADA ANIMASI 3D DENGAN 
MENGGUNAKAN METODE POSE TO POSE","animasi, pose to pose, blender, animation"
"PEMBUATAN FILM ANIMASI 3D “PILKADA” DENGAN TEKNIK
POSE TO POSE STUDI KASUS VISUAL HORE STUDIO","animasi 3D, pose to pose"
"PERANCANGAN VOLUMETRIC LIGHTING FILM ANIMASI 3D 
DENGAN JUDUL “ASTRO GIRL” MENGGUNAKAN SOFTWARE
BLENDER","Film Animasi 3d, Blender, 3D Animation"
"PENERAPAN METODE MOTION CAPTURE UNTUK 
GERAKAN KARAKTER ANIMASI 3D","Animasi 3D, Dance, Penangkapan gerak, Radical, Blender"
"PEMBUATAN VIDEO KONTEN ANIMASI NOMINASI TV
COMMERCIAL ACARA BOIM “BATTLE OF INDIE MULTIMEDIA”
2020 PRODI TEKNOLOGI INFORMASI UNIVERSITAS AMIKOM
YOGYAKARTA","BOIM 2020, Motion Graphic, 2D"
"PEMBUATAN FILM MUSIK FANTASI DENGAN 
TEKNIK VISUAL EFFECT","Film, Efek Visual, Musik Fantasi, Youtube, Visual Effect, Music Fantasy,"
"ANALISIS DAN PEMBUATAN FILM PENDEK “MEMORIES” DENGAN
MENGGUNAKAN VISUAL EFFECT","Visual Efek, Film Pendek"
PEMBUATAN GERAKAN TARI PIRING 2D MENGGUNAKAN TEKNIK ROTOSCOPING LIVE SHOT,"Tari Piring, Multimedia, Animasi, Rotoscoping."
"PEMBUATAN SHORT MOVIE BERJUDUL “RUSH” DENGAN TEKNIK
HYBRID ANIMATION","Animation, 2D, 3D, Hybrid Animation, Camera Movement"
"SISTEM PAKAR DIAGNOSA KERUSAKAN PADA MOTOR BENELLI 
MENGGUNAKAN METODE FORWARD CHAINING 
(STUDI KASUS : DEALER BENELLI YOGYAKARTA)","Sistem Pakar, Forward Chaining, Sepeda Motor, Benelli"
"SISTEM PAKAR UNTUK MENDIAGNOSA HAMA DAN
PENYAKIT PADA TANAMAN JAGUNG","Sistem Pakar, Forward Chaining, Diagnosa, Penyakit Jagung"
"PERANCANGAN SISTEM PAKAR UNTUK MENGETAHUI JENIS
PENYAKIT PADA PERTUMBUHAN  
BAWANG MERAH MENGGUNAKAN 
FORWARD CHAINING DAN 
THEOREMA BAYES","Sistem pakar, Penyakit Tanaman Bawang Merah, Forward
Chaining, Teorema Bayes"
"SISTEM PAKAR DIAGNOSA PENYAKIT INFEKSI VIRUS
MENGGUNAKAN METODE BAYESIAN NETWORK 
(Studi Kasus : Praktek Dokter dr. Andhiko B. Sekti)","Sistem Pakar, Diagnosa, Infeksi Virus, Bayesian Network"
"PENERAPAN METODE SIMPLE ADDITIVE WEIGHTING (SAW)
DALAM MENDUKUNG KEPUTUSAN PEMILIHAN T ENAGA
KEPERAWATAN BERPRESTASI DI RUMAH SAKIT UMUM
AFDILA","Rumah Sakit Umum Afdila, Sistem Pendukung Keputusan,
Simple Additive Weighting (SAW)"
"SISTEM PAKAR DIAGNOSIS PENYAKIT INFEKSI YANG DISEBABKAN OLEH
BAKTERI DAN VIRUS MENGGUNAKAN METODE CASE BASED REASONING
DENGAN ALGORITMA K-NEAREST NEIGHBOR BERBASIS WEBSITE
(STUDI KASUS : PRAKTEK DOKTER dr.ANDHIKO B. SEKTI)","Sistem Pakar, Case Based Reasoning, K-NN, Bakteri dan Virus"
"IMPLEMENTASI METODE DEMPSTER SHAFER UNTUK DETEKSI
DINI GANGGUAN GIZI BURUK PADA BALITA","Gizi buruk, Sistem Pakar, Dempster Shafer, Web, PHP, MySQL"
IMPLEMENTASI ALGORITMA NAIVE BAYES UNTUK MENDIAGNOSA PENYAKIT PADA KAMBING ETAWA,"Sistem Pakar, Kambing Etawa, Naive Bayes"
"PENERAPAN METODE K-NEAREST NEIGHBORS UNTUK               DIAGNOSA PENYAKIT INFEKSI BAKTERI                            
(Studi Kasus: Praktek Dokter dr. Andhiko B. Sekti)","Diagnosa, Infeksi Bakteri, Sistem Pakar, K-Nearest Neighbors,
Klasifikasi"
"IMPLEMENTASI ALGORITMA NAIVE BAYES 
UNTUK MENDIAGNOSA PENYAKIT PADA 
SAPI POTONG","Sistem Pakar, Sapi potong, Naïve Bayes."
"KLASIFIKASI PENYAKIT TEMBAKAU BERDASARKAN
CITRA DAUN MENGGGUNAKAN METODE
CONVOLUTIONAL NEURAL NETWORK","Penyakit Tembakau, CNN, Data Training, Data Validasi. Data
Testing"
"KLASIFIKASI JENIS PENYAKIT ALZHEIMER BERDASARKAN
CITRA MRI MENGGUNAKAN EFFICIENT NETWORK","Klasifikasi Gambar, Efficient Network, Alzheimer, MRI"
"IMPLEMENTASI METODE GRAY LEVEL CO-OCCURRENCE 
MATRIX (GLCM) UNTUK KLASIFIKASI PENYAKIT DAUN PADI","Penyakit daun padi, GLCM, KNN"
"SISTEM PENDUKUNG KEPUTUSAN DALAM DIAGNOSA PENYAKIT DEMAM
BERDARAH DENGUE DENGAN MENGGUNAKAN METODE DECISION TREE","Sistem Pendukung Keputusan, Demam Berdarah Dengue, Decision Tree"
"SISTEM PAKAR DIAGNOSIS GANGGUAN MENSTRUASI
MENGGUNAKAN TEOREMA BAYES","Sistem Pakar, Teorema Bayes, Gangguan Menstruasi, Expert System, Menstrual Disorder, Bayes Theorem"
"ANALISIS PREDIKSI AWAL PENYAKIT DIABETES MELLITUS
MENGGUNAKAN ALGORITMA NAÏVE BAYES","Prediksi, Algoritma Naïve Bayes, Diabetes Mellitus, Prediction"
"SISTEM PAKAR UNTUK MENDIAGNOSA PENYAKIT KULIT PADA
MANUSIA BERBASIS WEB MENGGUNAKAN METODE
BAYESIAN NETWORK","Penyakit Kulit, Probabilitas, Bayesian Network, Expert System, Skin Disease, Probability"
"PENERAPAN K-NEAREST NEIGBOR UNTUK DIAGNOSA PENYAKIT LAMBUNG
(Studi Kasus: Praktek Dokter dr. Andhiko B. Sekti)","Diagnosa, Penyakit Lambung, Sistem Pakar, K-Nearest Neigbors,
Klasfikasi"
"PENERAPAN ALGORITMA FUZZY C-MEANS CLUSTERING UNTUK 
MENGKLASTER PENYAKIT MENULAR 
DI KABUPATEN SLEMAN","Klastering, Algoritma Fuzzy C-Means, Penyakit Menular"
